WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,WAL,WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,WAL,TA1,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,WAL,WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
